,DATE,HH
1116,2022-08-16,9.28
1117,2022-08-17,9.51
1118,2022-08-18,9.42
1119,2022-08-19,9.14
1120,2022-08-22,9.85
1121,2022-08-23,9.75
1122,2022-08-24,9.27
1123,2022-08-25,9.47
1124,2022-08-26,9.48
1125,2022-08-30,9.1
1126,2022-08-31,8.93
1127,2022-09-01,9.38
1128,2022-09-02,9.18
1129,2022-09-06,8.52
1130,2022-09-07,8.12
1131,2022-09-08,8.27
1132,2022-09-09,8.31
1133,2022-09-12,8.2
1134,2022-09-13,8.49
1135,2022-09-14,8.7
1136,2022-09-15,8.6
1137,2022-09-16,8.11
1138,2022-09-20,8.01
1139,2022-09-21,7.99
1140,2022-09-22,7.76
1141,2022-09-23,6.75
1142,2022-09-26,6.75
1143,2022-09-27,6.83
1144,2022-09-28,6.59
1145,2022-09-29,6.57
1146,2022-09-30,6.4
1147,2022-10-03,5.64
1148,2022-10-04,5.4
1149,2022-10-05,5.84
1150,2022-10-06,6.91
1151,2022-10-07,6.25
1152,2022-10-11,6.2
1153,2022-10-12,6.6
1154,2022-10-13,6.25
1155,2022-10-14,6.1
1156,2022-10-17,6.08
1157,2022-10-18,6.16
1158,2022-10-19,5.63
1159,2022-10-20,5.1
1160,2022-10-21,4.45
1161,2022-10-24,4.81
1162,2022-10-25,5.17
1163,2022-10-26,5.28
1164,2022-10-27,5.3
1165,2022-10-28,5.02
1166,2022-10-31,5.02
1167,2022-11-01,4.57
1168,2022-11-02,4.58
1169,2022-11-03,4.65
1170,2022-11-04,4.0
1171,2022-11-07,4.62
1172,2022-11-08,4.0
1173,2022-11-09,3.46
1174,2022-11-10,4.8
1175,2022-11-11,4.8
1176,2022-11-14,6.24
1177,2022-11-15,5.9
1178,2022-11-16,5.88
1179,2022-11-17,6.2
1180,2022-11-18,6.1
1181,2022-11-21,6.23
1182,2022-11-22,6.27
1183,2022-11-23,6.57
1184,2022-11-25,6.57
1185,2022-11-28,6.0
1186,2022-11-29,6.03
1187,2022-11-30,7.0
1188,2022-12-01,6.33
1189,2022-12-02,4.92
1190,2022-12-05,4.15
1191,2022-12-06,4.58
1192,2022-12-07,4.49
1193,2022-12-08,4.79
1194,2022-12-09,4.98
1195,2022-12-12,6.73
1196,2022-12-13,7.2
1197,2022-12-14,6.54
1198,2022-12-15,6.8
1199,2022-12-16,6.63
1200,2022-12-19,6.08
1201,2022-12-20,5.28
1202,2022-12-21,6.13
1203,2022-12-22,7.1
1204,2022-12-23,7.15
1205,2022-12-28,4.06
1206,2022-12-29,3.78
1207,2022-12-30,3.52
1208,2023-01-03,3.64
1209,2023-01-04,3.75
1210,2023-01-05,3.78
1211,2023-01-06,3.43
1212,2023-01-09,3.65
1213,2023-01-10,3.32
1214,2023-01-11,3.41
1215,2023-01-12,3.47
1216,2023-01-13,3.43
1217,2023-01-17,3.43
1218,2023-01-18,3.2
1219,2023-01-19,2.91
1220,2023-01-20,3.15
1221,2023-01-23,3.43
1222,2023-01-24,3.35
1223,2023-01-25,3.09
1224,2023-01-26,2.72
1225,2023-01-27,2.83
1226,2023-01-30,2.82
1227,2023-01-31,2.65
1228,2023-02-01,2.65
1229,2023-02-02,2.67
1230,2023-02-03,2.4
1231,2023-02-06,2.17
